code,name,close,volume
AHPI,Allied Healthcare,4.980,"299,100"
AIA,Asia 50 Ishares ETF,82.07,"48,900"
AIH,Aesthetic Medical International Holdings,4.850,"50,100"
AIHS,Senmiao Technology Ltd,1.130,"3,515,200"
AIKI,Alkido Pharma Inc,0.5120,"654,600"
AIMC,Altra Indtl Mtn,53.81,"400,500"
AINV,Apollo Investment Company,10.58,"449,800"
AIQ,Global X Future Analytics Tech ETF,25.32,"46,100"
AIRG,Airgain Inc,13.29,"30,000"
AIRR,Rba American Industrial Renaissance ETF,31.07,"10,000"
AIRT,Air T Inc,10.80,"1,200"
AIRTP,Air T Inc Funding Alpha Income Trust,22.90,300
AIRTW,Air T Inc Funding WT,0.0300,"18,500"
AKAM,Akamai Technologies,102.3,"1,494,300"
AKBA,Akebia Therapeutics,2.880,"4,523,800"
AKER,Akers Biosciences,1.870,"929,800"
AKRO,Akero Therapeutics Inc,28.93,"124,200"
AKTS,Akoustis Technologies Inc,7.920,"527,800"
AKTX,Akari Therapeutics,1.590,"72,200"
AKU,Akumin Inc,3.300,"66,900"
AKUS,Akouos Inc,19.09,"100,300"
ALAC,Alberton Acquisition Corp,10.76,"1,100"
ALACR,Alberton Acquisition Corp Rights,0.3300,"24,400"
ALACU,Alberton Acquisition Corp Unit,11.20,"1,000"
ALACW,Alberton Acquisition Corp WT,0.3800,"64,300"
ALBO,Albireo Pharma Inc,35.18,"138,700"
ALCO,Alico Inc,31.13,"13,400"
ALDX,Aldeyra Therapeu,6.760,"248,900"
ALEC,Alector Inc,12.63,"382,300"
ALGM,Allegro Microsystems Inc,22.79,"851,700"
ALGN,Align Technology,446.5,"560,100"
ALGS,Aligos Therapeutics Inc,19.47,"144,000"
ALGT,Allegiant Travel Com,154.9,"125,600"
ALIM,Alimera Sciences Inc,4.750,"38,100"
ALJJ,Alj Regional Hold,1.110,"134,300"
ALKS,Alkermes Plc,18.24,"777,200"
ALLK,Allakos Inc,101.4,"235,000"
ALLO,Allogene Therapeutics Inc,31.23,"782,800"
ALLT,Allot Communications,9.890,"94,900"
ALNA,Allena Pharmaceuticals Inc,1.370,"241,500"
ALNY,Alnylam Pharmaceuticals,124.7,"425,600"
ALOT,Astronova Inc,9.820,"64,600"
ALPN,Alpine Immune Sciences Inc,7.800,"40,700"
ALRM,Alarm.com,69.46,"424,100"
ALRN,Aileron Therapeutics Inc,1.070,"895,400"
ALRS,Alerus Financial Corp,24.81,"22,300"
ALSK,Alaska Commun Sys,3.110,"479,900"
ALT,Altimmune Inc,9.320,"1,023,100"
ALTA,Altabancorp,26.86,"31,000"
ALTM,Altus Midstream Company,37.36,"89,000"
ALTR,Altair Engineering Inc Cl A,51.03,"311,500"
ALTY,G-X Super Dividend Alternatives ETF,11.44,"4,900"
ALVR,Allovir Inc,33.50,"79,300"
ALXN,Alexion Pharm Inc,121.4,"1,321,800"
ALXO,Alx Oncology Holdings Inc,73.94,"169,400"
ALYA,Alithya Group Inc Cl A,2.595,"50,200"
AMAG,Amag Pharmaceuticals,13.75,"1,534,500"
AMAL,Amalgamated Bk,13.32,"76,200"
AMAT,Applied Materials,76.73,"7,609,700"
AMBA,Ambarella Inc,66.46,"640,000"
AMCA,Russell 1000 Pure US Rev Ishares ETF,30.45,100
AMCI,Amci Acquisition Corp Cl A,10.30,"91,700"
AMCIU,Amci Acquisition Corp Unit,10.75,500
AMCIW,Amci Acquisition Corp WT,0.5950,"932,400"
AMCX,Amc Networks Cl A,30.12,"1,301,500"
AMD,Adv Micro Devices,84.64,"35,008,400"
AMED,Amedisys Inc,241.1,"121,000"
AMEH,Apollo Medical Holdings Inc,18.54,"44,100"
AMGN,Amgen Inc,223.2,"2,956,200"
AMHC,Amplitude Healthcare Acquisition Corp Cl,9.870,"4,300"
AMHCU,Amplitude Healthcare Acquisition Corp,10.45,100
AMHCW,Amplitude Healthcare Acquisition Corp WT,1.010,"3,100"
AMKR,Amkor Technology,13.50,"738,400"
AMNB,American Natl Bksh,26.82,"32,700"
AMOT,Allied Motion Tech,40.75,"24,000"
AMPH,Amphastar Pharma,18.36,"247,800"
AMRB,American River Bkshs,11.05,200
AMRH,Ameri Holdings Inc,1.260,"272,200"
AMRHW,Ameri Holdings Inc WT,0.0480,"120,100"
AMRK,A-Mark Precious Meta,30.53,"58,200"
AMRN,Amarin Corp Ads,4.620,"20,643,100"
AMRS,Amyris Inc,2.300,"2,019,400"
AMSC,Amer Superconductor,16.00,"291,000"
AMSF,Amerisafe Inc,57.43,"89,900"
AMST,Amesite Inc,4.920,"60,500"
AMSWA,Amer Software Inc,17.27,"151,700"
AMTB,Mercantil Bank Holding Cl A,13.00,"59,000"
AMTBB,Mercantil Bank Holding Cl B,12.40,"17,400"
AMTI,Applied Molecular Transport Inc,30.43,"54,100"
AMTX,Aemetis Inc,2.060,"999,900"
AMWD,Amer Woodmark Cp,98.45,"93,000"
AMYT,Amryt Pharma Plc ADR,12.99,"59,700"
AMZN,Amazon.com Inc,"3,099","3,380,100"
ANAB,Anaptysbio Inc,26.46,"221,900"
ANAT,Amer Natl Insurance,84.22,"19,100"
ANCN,Anchiano Therapeutics Ltd ADR,1.450,"84,400"
ANDA,Andina Acquisition Corp III,10.20,"1,500"
ANDAR,Andina Acquisition Corp III Right,0.2600,"10,400"
ANDAU,Andina Acquisition Corp III Unit,10.69,100
ANDAW,Andina Acquisition Corp III WT,0.2450,"68,200"
ANDE,Andersons Inc,21.36,"114,800"
ANGI,Homeservices Inc,11.56,"1,739,800"
ANGL,Fallen Angel HY Bond ETF Vaneck,31.10,"974,300"
ANGO,Angiodynamics Inc,12.59,"199,400"
ANIK,Anika Therapeutics,36.20,"75,400"
ANIP,ANI Pharma Inc,28.02,"44,400"
ANIX,Anixa Biosciences Inc,2.210,"122,600"
ANNX,Annexon Inc,24.95,"48,400"
ANPC,Anpac Bio-Medical Science CO ADR,3.400,"31,200"
ANSS,Ansys Inc,318.3,"296,900"
ANTE,Airnet Technology Inc,1.080,"26,900"
ANY,Sphere 3D Corp,1.470,"489,300"
AOSL,Alpha and Omega Semi,21.62,"302,800"
AOUT,American Outdoor Brands Inc,14.24,"92,900"
APA,Apache Corp,11.44,"7,963,700"
APDN,Applied Dna Scns,7.050,"113,700"
APEI,American Public Eduducation,31.10,"54,500"
APEN,Apollo Endosurgery Inc,2.550,"6,400"
APEX,Apex Global Brands Inc,6.800,"301,400"
APHA,Aphria Inc,6.130,"7,109,700"
API,Agora Inc Ads,36.65,"1,062,000"
APLS,Apellis Pharmaceuticals Inc,45.43,"777,600"
APLT,Applied Therapeutics Inc,19.50,"126,100"
APM,Aptorum Group Ltd Cl A,2.330,"241,500"
APOG,Apogee Entrpr Inc,26.48,"167,800"
APOP,Cellect Biotechnology Ltd,1.810,"84,300"
APOPW,Cellect Biotechnology Ltd,0.1788,"1,700"
